时期,AQI,HTem,ECO,Coal,LTem,Gas,CERChange,TanChange,ExChange
1,71.47,34.14,10.37,2036.83,27.95,3418.55,0.29,-0.65,0.34
2,71.3,34.5,10.7,2026.44,28.61,3440.89,0.29,-0.65,0.34
3,71.13,34.87,11.05,2016.1,29.3,3463.37,0.29,-0.65,0.34
4,70.96,35.24,11.41,2005.82,30,3486,0.29,-0.65,0.34
5,70.79,35.62,11.77,1995.59,30.71,3508.78,0.29,-0.65,0.34
6,70.62,36,12.15,1985.42,31.45,3531.71,0.29,-0.65,0.34
7,70.45,36.38,12.55,1975.29,32.2,3554.79,0.29,-0.65,0.34
8,70.28,36.77,12.95,1965.22,32.97,3578.02,0.29,-0.65,0.34
9,70.11,37.16,13.37,1955.19,33.75,3601.4,0.29,-0.65,0.34
10,69.94,37.55,13.8,1945.22,34.56,3624.93,0.29,-0.65,0.34
精度,勉强,勉强,勉强,合格,合格,好,好,好,好
等级,合格,合格,合格,,,,,,
